Data;Tmax;Tmin;I;Tmean;UR;V
"""1993-07-21""";26.3;14.6;NA;20.36;51.75;1.8666669999999999
"""1993-07-22""";25.8;14.8;NA;20.42;47.0;1.8
"""1993-07-23""";26.4;16.0;NA;20.5;45.5;1.366667
"""1993-07-24""";27.0;14.8;NA;21.5;46.75;1.3
"""1993-07-25""";26.3;15.8;NA;21.2;48.75;1.233333
"""1993-07-26""";25.1;17.2;NA;19.32;69.5;2.233333
"""1993-07-27""";22.5;17.0;NA;18.96;72.75;2.7
"""1993-07-28""";22.6;16.4;NA;18.74;70.0;3.0333330000000003
"""1993-07-29""";25.1;15.8;NA;19.52;63.0;1.8
"""1993-07-30""";25.2;15.4;NA;19.78;64.0;1.566667
"""1993-07-31""";26.8;15.6;NA;21.02;60.75;2.0
"""1993-01-08""";26.9;16.4;NA;21.26;57.5;1.666667
"""1993-02-08""";25.9;18.0;0.0;21.4;60.5;2.8
"""1993-03-08""";25.9;17.2;NA;20.76;60.0;2.8666669999999996
"""1993-04-08""";26.4;16.6;NA;20.7;57.25;2.1333330000000004
"""1993-05-08""";25.0;16.2;NA;19.94;55.5;2.2
"""1993-06-08""";26.3;15.2;NA;20.12;54.25;2.433333
"""1993-07-08""";26.0;15.0;NA;20.42;50.25;2.3666669999999996
"""1993-08-08""";28.7;14.6;NA;21.28;43.5;1.233333
"""1993-09-08""";28.6;15.2;NA;21.78;43.75;1.2
"""1993-10-08""";29.4;16.6;NA;22.46;43.5;1.533333
"""1993-11-08""";27.4;17.2;NA;21.18;61.5;1.233333
"""1993-12-08""";23.0;16.2;NA;18.7;78.25;2.4666669999999997
"""1993-08-13""";21.5;15.6;NA;17.76;74.0;2.8
"""1993-08-14""";22.0;15.6;NA;18.3;69.0;2.5
"""1993-08-15""";20.8;15.4;NA;16.68;76.25;1.8666669999999999
"""1993-08-16""";20.4;14.2;3.3;16.98;57.0;2.8
"""1993-08-17""";22.4;13.8;9.0;17.82;65.25;1.9333330000000002
"""1993-08-18""";25.5;14.0;8.5;19.96;53.25;2.3
"""1993-08-19""";26.6;15.2;5.1;18.66;66.75;1.266667
"""1993-08-20""";23.9;14.0;6.0;18.8;71.25;1.433333
"""1993-08-21""";19.8;15.7;1.3;16.94;84.0;2.066667
"""1993-08-22""";19.4;13.8;4.1;16.04;70.25;3.5
"""1993-08-23""";18.5;13.6;2.5;15.88;73.5;2.833333
"""1993-08-24""";19.3;14.4;0.0;16.36;82.25;1.633333
"""1993-08-25""";27.0;14.6;1.4;20.02;63.25;1.3
"""1993-08-26""";29.1;15.4;9.4;22.04;45.75;1.9666669999999997
"""1993-08-27""";30.0;16.4;9.0;23.54;37.75;1.833333
"""1993-08-28""";29.5;18.2;9.3;23.84;40.0;1.9666669999999997
"""1993-08-29""";31.4;17.4;11.1;24.18;35.75;1.4
"""1993-08-30""";32.1;17.2;9.2;24.28;31.75;0.8
"""1993-08-31""";32.4;17.0;NA;25.22;33.25;2.3
"""1993-01-09""";32.2;17.0;8.1;25.3;26.5;1.7666669999999998
"""1993-02-09""";29.7;18.2;8.8;23.28;41.25;2.3666669999999996
"""1993-03-09""";30.2;18.2;8.6;24.34;43.0;1.466667
"""1993-04-09""";27.1;17.3;8.0;21.48;63.0;2.566667
"""1993-05-09""";30.8;18.0;8.8;23.42;49.0;0.8
"""1993-06-09""";33.1;18.6;8.5;25.7;37.25;1.2
"""1993-07-09""";33.0;20.4;8.0;26.92;NA;1.9666669999999997
"""1993-08-09""";32.8;21.8;3.7;26.76;NA;1.9
"""1993-09-09""";30.2;20.6;7.5;25.04;44.25;2.5333330000000003
"""1993-10-09""";31.1;20.6;6.6;24.56;52.5;2.2
"""1993-11-09""";25.3;19.8;0.4;21.26;59.5;2.833333
"""1993-12-09""";22.7;16.0;6.7;18.58;68.5;3.233333
"""1993-09-13""";25.0;13.9;9.1;19.38;46.25;2.4666669999999997
"""1993-09-14""";24.1;14.4;9.1;18.32;53.75;2.8666669999999996
"""1993-09-15""";23.7;14.8;1.3;19.38;53.0;2.1
"""1993-09-16""";29.1;17.0;5.5;21.08;57.25;1.566667
"""1993-09-17""";29.3;17.3;7.1;23.3;50.25;2.433333
"""1993-09-18""";30.6;17.2;9.7;23.48;36.5;1.333333
"""1993-09-19""";33.7;17.8;8.5;25.82;42.75;1.2
"""1993-09-20""";34.0;21.5;6.9;27.06;41.25;1.633333
"""1993-09-21""";31.0;19.8;1.0;23.78;NA;2.166667
"""1993-09-22""";30.1;18.8;2.6;23.88;66.0;1.233333
"""1993-09-23""";29.4;19.8;8.0;22.66;76.75;1.7
"""1993-09-24""";24.4;17.8;0.0;21.22;79.75;1.4
"""1993-09-25""";29.3;19.0;0.8;22.84;64.25;3.166667
"""1993-09-26""";25.4;17.4;7.8;21.02;62.75;2.9
"""1993-09-27""";23.2;17.6;0.0;20.02;75.5;1.1
"""1993-09-28""";29.3;17.8;7.9;23.52;60.0;1.433333
"""1993-09-29""";26.9;17.5;2.5;20.58;77.0;1.566667
"""1993-09-30""";26.4;17.6;5.1;21.74;72.75;2.0333330000000003
"""1993-01-10""";30.2;18.4;7.1;23.82;63.5;1.7333330000000002
"""1993-02-10""";30.5;18.5;7.3;22.48;78.25;1.233333
"""1993-03-10""";31.3;18.6;9.5;25.32;54.75;2.0
"""1993-04-10""";32.0;19.8;8.3;26.06;57.0;2.066667
"""1993-05-10""";26.6;19.0;0.0;21.66;89.25;1.433333
"""1993-06-10""";24.7;18.4;0.9;20.72;78.75;1.9666669999999997
"""1993-07-10""";24.5;13.2;10.7;18.36;47.25;3.0333330000000003
"""1993-08-10""";22.7;14.0;9.9;18.48;54.5;2.4666669999999997
"""1993-09-10""";25.3;14.4;10.5;19.56;50.25;1.8666669999999999
"""1993-10-10""";28.1;15.3;9.6;21.6;47.0;2.266667
"""1993-11-10""";28.7;17.0;10.5;22.24;49.25;2.3
"""1993-12-10""";28.7;18.2;10.4;22.68;49.0;2.766667
"""1993-10-13""";28.3;18.2;10.0;22.64;52.25;1.7333330000000002
"""1993-10-14""";27.8;19.2;10.3;23.3;53.0;3.333333
"""1993-10-15""";29.8;18.8;9.6;24.02;49.75;2.266667
"""1993-10-16""";27.9;19.2;NA;23.12;62.25;2.0
"""1993-10-17""";28.2;18.8;7.0;23.22;54.25;1.9
"""1993-10-18""";30.3;19.0;7.7;24.4;53.0;1.8666669999999999
"""1993-10-19""";28.6;21.0;10.8;24.62;47.25;2.4666669999999997
"""1993-10-20""";30.1;20.6;8.8;24.48;50.25;2.5
"""1993-10-21""";31.1;20.6;6.3;25.36;55.0;1.033333
"""1993-10-22""";32.1;22.4;8.7;27.28;46.75;2.0333330000000003
"""1993-10-23""";30.5;22.8;4.1;26.44;57.5;1.133333
"""1993-10-24""";32.4;19.2;9.0;24.32;71.25;2.5333330000000003
"""1993-10-25""";27.3;19.2;1.6;23.4;69.0;1.7
"""1993-10-26""";29.0;19.4;5.9;22.7;84.0;2.3666669999999996
"""1993-10-27""";26.4;18.8;4.6;21.7;74.0;2.9
